compound	noun	modifier	nounlemma	modifierlemma	order	number	gender	A-invar	hyphen	link-wiktionnary	freq-frWaC	related-expr	comment	Carlos-annot	examplesent1	examplesent2	examplesent3	regexp-freq	undefdet	etre	avoir	quedet
service public	service	public	service	public	NA	S	M	no	no	https://fr.wiktionary.org/wiki/service_public	93258			C	Développons des<strong> services publics</strong> de qualité !	La poste doit rester un<strong> service public</strong> !	Les<strong> services publics</strong> seraient coûteux et inefficaces.	service public	un	est	a	qu'
premier ministre	ministre	premier	ministre	premier	AN	S	M	no	no	https://fr.wiktionary.org/wiki/premier_ministre	66753			C	Borloo espère le poste de<strong> premier ministre</strong>.	Chirac ne nommerait pas Sarkozy<strong> premier ministre</strong>.	Le<strong> premier ministre</strong> est un dirigeant respecté.	premier ministre	un	est	a	qu'
sécurité sociale	sécurité	sociale	sécurité	social	NA	S	F	no	no	https://fr.wiktionary.org/wiki/s%C3%A9curit%C3%A9_sociale	57543			C	La<strong> sécurité sociale</strong> est notre patrimoine commun.	Elle est remboursée par la<strong> sécurité sociale</strong>.	La<strong> sécurité sociale</strong> est une assurance maladie obligatoire.	sécurité social	une	est	a	qu'
conseil municipal	conseil	municipal	conseil	municipal	NA	S	M	no	no	https://fr.wiktionary.org/wiki/conseil_municipal	47914			C	Le<strong> conseil municipal</strong> donne son accord.	Les séances du<strong> conseil municipal</strong> sont publiques.	Le budget est voté par le<strong> conseil municipal</strong>.	conseil municipal	un	est	a	qu'
directeur général	directeur	général	directeur	général	NA	S	M	no	no	https://fr.wiktionary.org/wiki/directeur_g%C3%A9n%C3%A9ral	43778			C	Il était<strong> directeur général</strong> de valoris.	Le<strong> directeur général</strong> dirige la nouvelle institution.	Un<strong> directeur général</strong> sera nommé prochainement.	directeur général	un	est	a	qu'
ressources humaines	ressources	humaines	ressource	humain	NA	P	F	no	no	https://fr.wiktionary.org/wiki/ressources_humaines	32436			C	Le sous-directeur des<strong> ressources humaines</strong> était absent.	On recherche un consultant en<strong> ressources humaines</strong>.	Cette activité réveille des besoins en<strong> ressources humaines</strong>.	ressource humain	des	sont	ont	que 
jeune fille	fille	jeune	fille	jeune	AN	S	F	yes	no	https://fr.wiktionary.org/wiki/jeune_fille	31747			C	La<strong> jeune fille</strong> blonde repart.	Cette<strong> jeune fille</strong> était sa soeur.	La<strong> jeune fille</strong> le regarde intensément.	jeune fille	une	est	a	qu'
journal officiel	journal	officiel	journal	officiel	NA	S	M	no	no	https://fr.wiktionary.org/wiki/Journal_officiel	30999			C	Cet arrêté est publié au<strong> journal officiel</strong>.	Sa publication au<strong> journal officiel</strong> est imminente.	Il consulte le<strong> journal officiel</strong> de la république française.	journal officiel	un	est	a	qu'
temps réel	temps	réel	temps	réel	NA	S	M	no	no	https://fr.wiktionary.org/wiki/temps_r%C3%A9el	30172			PC	Informez vous en<strong> temps réel</strong> !	La traduction se fait en<strong> temps réel</strong>.	Vos véhicules sont suivis en<strong> temps réel</strong>.	temps réel	un	est	a	qu'
vie quotidienne	vie	quotidienne	vie	quotidien	NA	S	F	no	no	https://fr.wiktionary.org/wiki/vie_quotidienne	29553			C	Ces élections concernent la<strong> vie quotidienne</strong> des populations.	La métallurgie fait partie de notre<strong> vie quotidienne</strong>.	Oubliez les petits accidents de la<strong> vie quotidienne</strong>.	vie quotidien	une	est	a	qu'
