compound_lemma	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	avgHead	stdevHead	avgModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents
ancient_history	ancient_history	ancient/a_history/n	history	ancient	18	2.7222	2.1090	1.8333	1.3827	1.7778	1.4371	old news(6);in the past(3);past(2);forever ago(2);bygone days(2);history(2);ancient knowledge(1);long time ago(1);fossil ages(1);distant(1);null(1);water under the bridge(1);over with(1);irrelevant(1);moot(1);generations ago(1);useless(1);past history(1);years ago(1);completed(1);historical relic(1);recent news(1);outdated(1);old history(1);older history(1);lost(1);not of importance(1);past times(1);extended time(1);forgotten(1);b.c(1);ancient times(1)
armchair_critic	armchair_critic	armchair/a_critic/n	critic	armchair	14	5.0000	0.0000	0.5714	0.7559	1.1429	1.0995	critic(2);backseat driver(2);armchair quarterback(2);hypocrite(2);inactive critic(1);unprofessional critic(1);inactive(1);reviewer(1);hypercritical(1);judgemental(1);non participating commenter(1);keyboard critic(1);monday morning quarterback(1);non involved critic(1);lazy(1);ineffective critic(1);non participant watcher(1);back seat driver(1);peanut gallery(1);critic from a distance(1);armchair academic(1);critcal(1);monday morning quaterback(1);bystander(1);armchair general(1);complainer(1);inexperienced(1)
baby_buggy	baby_buggy	baby/a_buggy/n	buggy	baby	14	4.2143	0.6993	4.7857	0.5789	4.3571	1.0082	stroller(10);baby carriage(8);pram(5);baby stroller(4);cart(2);baby carrier(1);perambulator(1)
bad_hat	bad_hat	bad/a_hat/n	hat	bad	14	0.0000	0.0000	4.5000	0.6504	0.5000	0.7596	criminal(4);bad person(2);trouble maker(2);no good(2);bad guy(2);social pariah(1);vagabond(1);hellion(1);unfavorable(1);mischief maker(1);jerk(1);bad form(1);black hat(1);mischievous person(1);not nice person(1);bad man(1);asshole(1);malcontent(1);villian(1);unscrupulous(1);motherfucker(1);bad egg(1);bad news(1);con man(1);bad apple(1);crook(1);thug(1)
benign_tumour	benign_tumour	benign/a_tumour/n	tumour	benign	14	5.0000	0.0000	4.7857	0.4258	4.9286	0.2673	benign growth(4);growth(2);nonmalignant tumor(2);benign cancer(2);non cancerous tumour(2);cancer(1);cancerous growth(1);benign lump(1);casual growth(1);noninvading bump(1);non malignant tumour(1);benign neoplasm(1);benign tissue(1);innocuous bump(1);negative tumor(1);non cancerous tumor(1);harmless growth(1);non malignent tumor(1);lump(1);noncancerous tumor(1);non fatal tumor(1);nonmetastatic tumour(1);harmless tumor(1);noncancerous tumour(1);mass(1);non carcihogenic tumor(1)
big_fish	big_fish	big/a_fish/n	fish	big	17	0.2941	0.6860	2.5294	1.8748	0.5294	0.7998	important person(4);top dog(3);big kahuna(2);big shot(2);authority(1);visible(1);vip(1);loud person(1);better things(1);big deal(1);successful person(1);more important person(1);in charge(1);big player(1);character(1);more important things(1);high paid person(1);person on renown(1);powerful person(1);kingpin(1);more important(1);head cheese(1);big account(1);leader(1);large figure(1);boss(1);famous(1);high ranking people(1);whale(1);top gun(1);bigger problems(1);professional(1);hot shot(1)
birth_rate	birth_rate	birth/a_rate/n	rate	birth	15	4.9333	0.2582	5.0000	0.0000	4.8667	0.3519	fertility rate(3);number of births(2);population(2);population rate(2);birthing rate(1);people born compared to people living(1);birth level(1);birth speed(1);rate of children born(1);live births(1);births per 100000(1);births per year(1);demographics(1);growth rate(1);new birth numbers(1);units of birth(1);number of newborns(1);population growth(1);births(1);baby boom(1);birth(1);amount of people being born(1);number born(1);population rate growth(1);rate of reproduction(1);babies born(1);replacement rate(1);rate of birth(1);re population(1)
black_cherry	black_cherry	black/a_cherry/n	cherry	black	16	4.5625	1.0308	3.0000	2.0000	3.4375	1.3150	cherry(7);dark cherry(5);wild cherry(4);fruit(3);rum cherry(2);black fruit(2);purple cherry(1);dark red cherry(1);dark berry(1);rich cherry(1);mountain cherry(1);type of cherry(1);cherry flavor(1);berry(1);small red pitted fruit(1);ripe cherry(1);pitted fruit(1);fruit flavored(1);royal chery(1)
bow_tie	bow_tie	bow/a_tie/n	tie	bow	11	4.9091	0.3015	4.7273	0.4671	4.9091	0.3015	tie(5);black tie(3);necktie(3);cravat(2);neck garment(1);clothing accessory(1);bow knot tie(1);tied bow(1);neck tie(1);white tie(1);bow(1);knotted tie(1);pin wheel tie(1);knot(1);tied scarf(1);bow of cloth(1);cravate(1)
brain_teaser	brain_teaser	brain/a_teaser/n	teaser	brain	16	2.4375	1.4127	3.5625	1.3150	2.8125	1.1673	puzzle(9);riddle(6);logic puzzle(2);challenge(2);cant figure out.(1);hard game(1);hard puzzle(1);tricky problem(1);mind bender(1);difficult solution(1);hard problem(1);mind game(1);mind boggle(1);brain twister(1);brain drainer(1);mystery(1);mind boggleing(1);education challenge(1);brain execise(1);thought provoker(1);brain game(1);logic teaser(1);mind boggler(1)
busy_bee	busy_bee	busy/a_bee/n	bee	busy	18	0.1111	0.3234	4.7222	0.6691	0.5000	0.7071	busy body(5);busy person(4);hard worker(3);go getter(3);busy(2);busy beaver(2);energetic person(1);eager beaver(1);hyper(1);busy productive person(1);occupied(1);someone who moves around(1);being overactive(1);doer(1);nonstop(1);busybody(1);slave(1);always busy(1);worker(1);workaholic(1);preoccupied person(1);tasked(1);drone(1);busy worker(1);always moving(1);popular(1);active person(1);industrious person(1)
