compound	source	a_modif	modifier	modif_pos	a_noun	noun	number	comp	freq-ukWaC	examplesent1	examplesent2	examplesent3	be	have	undefdet_head	undefdet_compound	relatedto_modifier	something_modifier
ancient history	OUR	an	ancient	J	a	history	S	PC		Things that happened almost a year ago is <strong>ancient history</strong>.	The days of triple-digit growth now seem like <strong>ancient history</strong>.	So... be brave, be ready to change your views... or be <strong>ancient history</strong>.	is	has	a	an	<!--X-->	something
baby buggy	OUR	a	baby	N	a	buggy	S	C		Can I take my <strong>baby buggy</strong> on to the London eye?	We also have a MacLarens <strong>baby buggy</strong> and potties and high chair if needed.	A British company has launched the world's first <strong>baby buggy</strong> with a pollution proof passenger capsule.	is	has	a	a	related to	<!--X-->
bad hat	OUR	a	bad	J	a	hat	S	NC		One month later still another  <strong>bad hat</strong> came along to further harass him	The jury heard the evidence presented, that he was general <strong>bad hat</strong>.	However, Whitehall thinks that I am a thoroughly <strong>bad hat</strong> and will not talk to me.	is	has	a	a	<!--X-->	something
benign tumour	OUR	a	benign	J	a	tumour	S	PC		Prince came onboard to have a large <strong>benign tumor</strong> removed from his head.	We were told at that time it was a slow growing <strong>benign tumor</strong> and to watch and wait.	Completely <strong>benign tumor</strong> is oncocytoma (it represents about 5 % of all kidney tumors).	is	has	a	a	<!--X-->	something
big fish	OUR	a	big	J	a	fish	S	NC		Work hard and become a <strong>big fish</strong> in a small pool.	The criminals are after <strong>bigger fish</strong> than journalists, and usually concentrate on the richer countries.	The <strong>biggest fish</strong> will always claim the best lies, with smaller fish in progressively less pleasant lies.	is	has	a	a	<!--X-->	something
birth rate	OUR	a	birth	N	a	rate	S	C		The <strong>birth rate</strong> necessary for a nation to reproduce itself is 2.2 children per couple.	Along with the fall in <strong>birth rate</strong>, the country experienced a soaring level of education.	The government still promotes and funds abortion and other measures designed to cut the <strong>birth rate</strong>.	is	has	a	a	related to	<!--X-->
black cherry	OUR	a	black	J	a	cherry	S	C		Plum and <strong>black cherry</strong> scented, this can be enjoyed now or cellared.	For those who have ever wondered: it tastes of vanilla with a hint of <strong>black cherry</strong>.	It has a spicy aroma of wild berries, offering <strong>black cherry</strong> and raspberry flavours.	is	has	a	a	<!--X-->	something
bow tie	OUR	a	bow	N	a	tie	S	PC		He wears either a cravat or a knotted or <strong>bow tie</strong>.	Blood had also dripped onto the judge's striped <strong>bow tie</strong>.	By way of compensation, one boy wore a <strong>bow tie</strong> of purest white.	is	has	a	a	related to	<!--X-->
brain teaser	OUR	a	brain	N	a	teaser	S	NC		For all its seeming simplicity, the game is a real <strong>brain teaser</strong>.	You may occasionally enjoy a good spirited debate or a '<strong>brain-teaser</strong>'.	Sudoku is a game of pure logic, an addictive <strong>brain teaser</strong>.	is	has	a	a	related to	<!--X-->
busy bee	OUR	a	busy	J	a	bee	S	NC		I love being a <strong>busy bee</strong> but I would like a bit of 'jill' time.	He was the <strong>busy bee</strong> of the party, but it was pleasant to hear him humming.	Busy like a <strong>busy bee</strong> you may have noticed that I have been very quiet of late.	is	has	a	a	<!--X-->	something
