compound_lemma	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	avgHead	stdevHead	avgModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents
ancient_history	ancient_history	ancient/a_history/n	history	ancient	19	2.8421	2.1151	2.0000	1.5275	1.9474	1.5802	old news(7);in the past(3);past(2);forever ago(2);bygone days(2);history(2);ancient knowledge(1);long time ago(1);antiquity(1);fossil ages(1);distant(1);null(1);water under the bridge(1);over with(1);irrelevant(1);moot(1);generations ago(1);useless(1);past history(1);years ago(1);completed(1);historical relic(1);recent news(1);outdated(1);old history(1);older history(1);lost(1);not of importance(1);past times(1);extended time(1);forgotten(1);b.c(1);ancient times(1)
armchair_critic	armchair_critic	armchair/a_critic/n	critic	armchair	18	4.5556	1.3382	0.8333	0.9852	1.3333	1.2834	backseat driver(4);armchair quarterback(3);critic(2);monday morning quaterback(2);hypocrite(2);bystander(2);armchair expert(1);inactive critic(1);unprofessional critic(1);inactive(1);reviewer(1);hypercritical(1);judgemental(1);sympathizer(1);non participating commenter(1);keyboard critic(1);monday morning quarterback(1);lazy(1);ineffective critic(1);armchair academic(1);non participant watcher(1);back seat driver(1);peanut gallery(1);critic from a distance(1);non involved critic(1);watercooler critic(1);critcal(1);armchair general(1);complainer(1);unqualified expert(1);inexperienced(1)
baby_buggy	baby_buggy	baby/a_buggy/n	buggy	baby	18	3.6667	1.4142	4.5000	1.0432	3.9444	1.3921	stroller(12);baby carriage(10);pram(6);baby stroller(5);cart(2);carriage(2);wheeled carrier(1);baby carrier(1);perambulator(1);child carriage(1)
bad_hat	bad_hat	bad/a_hat/n	hat	bad	16	0.0000	0.0000	4.2500	1.2910	0.6250	0.9574	criminal(4);bad person(3);trouble maker(3);no good(2);bad guy(2);social pariah(1);bad influence(1);vagabond(1);hellion(1);unfavorable(1);mischief maker(1);jerk(1);bad form(1);black hat(1);mischievous person(1);not nice person(1);lowlife(1);bad news(1);asshole(1);malcontent(1);villian(1);unscrupulous(1);crasher(1);motherfucker(1);bad egg(1);bad man(1);con man(1);bad apple(1);crook(1);thug(1)
benign_tumour	benign_tumour	benign/a_tumour/n	tumour	benign	16	4.8750	0.5000	4.5000	1.2649	4.6875	1.0145	benign growth(4);growth(3);nonmalignant tumor(2);benign cancer(2);non cancerous tumour(2);cancer(1);cancerous growth(1);benign lump(1);casual growth(1);non lethal tumor(1);noninvading bump(1);non malignant tumour(1);benign neoplasm(1);benign tissue(1);innocuous bump(1);non cancerous(1);negative tumor(1);non cancerous tumor(1);harmless growth(1);non malignent tumor(1);lump(1);noncancerous tumor(1);non fatal tumor(1);livable condition(1);nonmetastatic tumour(1);harmless tumor(1);mild decease(1);noncancerous tumour(1);mass(1);non carcihogenic tumor(1)
big_fish	big_fish	big/a_fish/n	fish	big	20	0.6000	0.9947	2.7500	1.8317	0.8500	1.0894	top dog(4);important person(4);big shot(3);big kahuna(2);head honcho(2);character(1);authority(1);visible(1);vip(1);loud person(1);better things(1);big deal(1);successful person(1);more important person(1);in charge(1);big player(1);more important things(1);bigger problems(1);high paid person(1);person on renown(1);powerful person(1);kingpin(1);top performer(1);more important(1);head cheese(1);big account(1);leader(1);big cheese(1);large figure(1);boss(1);famous(1);high ranking people(1);whale(1);top gun(1);higher people(1);professional(1);hot shot(1)
birth_rate	birth_rate	birth/a_rate/n	rate	birth	20	4.6500	0.8127	4.7000	0.7327	4.6000	0.5982	number of births(3);population rate(3);fertility rate(3);growth rate(2);population(2);birthing rate(1);people born compared to people living(1);birth level(1);birth speed(1);population multiplication level(1);rate of children born(1);live births(1);newborn statistic(1);births per 100000(1);births per year(1);speed of birth(1);birth statistic(1);incidence of birth(1);number of newborns(1);new birth numbers(1);population increase(1);units of birth(1);viable pregnancies(1);demographics(1);population growth(1);births(1);baby boom(1);birth(1);reproduction rate(1);amount of people being born(1);number born(1);newborn rate(1);population rate growth(1);rate of reproduction(1);babies born(1);replacement rate(1);rate of birth(1);re population(1);rate of population change(1)
black_cherry	black_cherry	black/a_cherry/n	cherry	black	19	4.3684	1.4225	2.6316	2.0605	3.1053	1.6294	cherry(7);dark cherry(5);wild cherry(4);fruit(3);black fruit(2);rum cherry(2);dark red cherry(1);cherry smell(1);mountain cherry(1);juice(1);fruit flavored(1);ripe cherry(1);purple cherry(1);red fruit(1);cherry scent(1);berry(1);pitted fruit(1);black currant(1);rich cherry(1);dark berry(1);cherry flavor(1);blackberry(1);small red pitted fruit(1);type of cherry(1);royal chery(1)
bow_tie	bow_tie	bow/a_tie/n	tie	bow	16	4.6875	1.0145	4.2500	1.2383	4.2500	1.2383	tie(6);necktie(4);black tie(3);cravat(2);accessory(2);knot(2);cravate(1);clothing accessory(1);bow knot tie(1);tie that doesn't hang(1);tied scarf(1);short tie in a bow(1);white tie(1);ribbon of fabric(1);formal attire(1);neck tie(1);man's tie(1);tied bow(1);pin wheel tie(1);bow of cloth(1);bow(1);knotted tie(1);knot with two loops(1);neck garment(1)
brain_teaser	brain_teaser	brain/a_teaser/n	teaser	brain	17	2.2941	1.4902	3.3529	1.5387	2.6471	1.3201	puzzle(10);riddle(6);logic puzzle(2);challenge(2);cant figure out.(1);hard game(1);hard puzzle(1);tricky problem(1);mind bender(1);difficult solution(1);hard problem(1);mind game(1);mind boggle(1);brain twister(1);brain drainer(1);mystery(1);mind boggleing(1);education challenge(1);brain execise(1);thought provoker(1);brain game(1);logic teaser(1);mind boggler(1);enigma(1)
busy_bee	busy_bee	busy/a_bee/n	bee	busy	24	0.3333	0.7020	4.4583	0.8836	0.8750	0.9918	busy person(5);busy body(5);go getter(5);busy beaver(3);hard worker(3);preoccupied person(2);busy(2);doer(2);energetic person(1);eager beaver(1);hyper(1);busy productive person(1);hard working(1);occupied(1);someone who moves around(1);snoop(1);being overactive(1);sociable person(1);nonstop(1);busybody(1);slave(1);always busy(1);worker(1);dynamo(1);tasked(1);workaholic(1);active(1);nosy(1);drone(1);busy worker(1);always moving(1);busy individual(1);popular(1);active person(1);industrious person(1);hardworker(1)
carpet_bombing	carpet_bombing	carpet/a_bombing/n	bombing	carpet	17	4.9412	0.2425	0.7059	1.1048	1.2353	1.2005	intense bombing(3);saturation bombing(3);blanket bombing(3);area bombing(3);aerial bombing(2);indiscriminate bombing(2);terrorist attack(1);complete destruction(1);bomb drop(1);thorough bombing(1);airstrike(1);dense bombing(1);location bombing(1);air strike(1);air support(1);scattering(1);bombing(1);devastating attack(1);air artillery(1);massive bombing(1);non targeted bombing(1);bomb dropping(1);continual bombing(1);missle raid(1);mass bombing(1);aerial bombardment(1);large bombing(1);firestorm(1);total annihilation(1)
cellular_phone	cellular_phone	cellular/a_phone/n	phone	cellular	18	5.0000	0.0000	3.2778	1.5645	3.7778	1.5168	mobile phone(10);smart phone(5);cell phone(5);cellphone(4);cell(3);wireless phone(3);iphone(2);electronic accessory(1);smartphone(1);cel phone(1);phone(1);mobile(1);individual phone(1);portable phone(1);texting(1);telephone(1);cellular device(1);talking(1);mobile device(1)
close_call	close_call	close/a_call/n	call	close	17	0.9412	1.1974	3.4118	1.7342	1.5882	1.3720	near miss(6);narrow escape(4);close shave(3);almost happened(2);near death(2);eleventh hour save(1);close one(1);last minute save(1);final game was close.(1);close(1);cutting it close(1);immediate shave(1);disaster averted(1);near squeak(1);wake up call(1);cliffhanger(1);tight(1);near death experience(1);scary situation(1);score was close.(1);close to happening(1);almost turned bad(1);tight squeeze(1);almost happening(1);close escape(1);accident(1);hard to decide(1);near(1);narrow exscape(1);nearby(1)
closed_book	closed_book	closed/a_book/n	book	closed	19	0.5263	1.1239	2.1579	1.8032	0.6842	1.1082	unknown(7);mystery(7);enigma(3);riddle(2);closed canon(1);puzzle(1);unreadable(1);unfathomable(1);unattainable(1);tough nut(1);solid case(1);secret(1);closed cover(1);unfamiliar(1);shut(1);inaccessible(1);ignorance(1);closed minded(1);tight lipped(1);off limits(1);ignorant(1);impenetrable subject(1);done deal(1);not understandable(1);sealed book(1);no knowledge(1);closed case(1);inaccessible subject(1);inscrutible(1)
computer_program	computer_program	computer/a_program/n	program	computer	18	4.5556	0.8556	4.6667	0.8402	4.5000	0.9852	software(9);application(7);computer software(3);code(2);operating system(2);app(1);disk(1);hardware program(1);programmed to work a certain way(1);system(1);program(1);computer application(1);algorythm(1);video game(1);algorithm(1);software program(1);instructions(1);computer operating process(1);executable file(1);computer game(1);patch(1);command(1);computer codes(1);digital code(1)
con_artist	con_artist	con/a_artist/n	artist	con	20	1.2500	1.1642	4.5000	1.0000	2.1000	1.4473	con man(10);criminal(5);thief(4);scammer(4);trickster(4);liar(2);scam artist(2);swindler(2);forger(1);crook(1);matchstick man(1);grifter(1);hustler(1);manipulator(1);theif(1);sting man(1);deceit artist(1);malcontent(1);confidence man(1);conman(1);fraud(1);great actor(1)
cooking_stove	cooking_stove	cooking/a_stove/n	stove	cooking	19	4.6316	0.6840	4.6842	0.6710	4.6842	0.5824	stove(9);oven(8);range(5);cooker(3);burners(2);electric stove(2);cook top(2);crock pot(1);gas stove(1);kitchen cooktop(1);portable stove(1);cooking oven(1);burner(1);kitchen stove(1);cooking device(1);cook stove(1);cooking appliance(1);cooking top(1);stovetop(1);dutch oven(1);stove oven(1);stove top(1)
cotton_candy	cotton_candy	cotton/a_candy/n	candy	cotton	19	4.3158	0.9459	1.1053	1.1496	1.7895	1.1343	spun sugar(9);candy floss(6);fairy floss(2);fluffy candy(2);confection(2);pink fluff(2);confection treat(1);spun candy(1);sugary treat(1);soft candy(1);fluffy confection(1);cottony soft candy(1);sugar wool(1);treat(1);sugar on stick(1);cotton ball candy(1);fluffed sugar(1);sugary food(1);simple treats(1);dessert(1);cloud candy(1);sweets(1);sugar clouds.(1);candy puff(1)
