compound_lemma	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	avgHead	stdevHead	avgModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents
activité_physique	activité_physique	activité/n_physique/a	activité	physique	14	5.0000	0.0000	5.0000	0.0000	5.0000	0.0000	sport(7);gymnastique(4);exercice physique(4);exercice(3);travail physique(2);travail(1);activité sportive(1);entraînement(1);travail musculaire(1);exercise physique(1);endurance physique(1);entrainement sportif(1);mise en forme(1);mouvements(1);éducation physique(1);entrainement physique(1)
année_scolaire	année_scolaire	année/n_scolaire/a	année	scolaire	12	2.6667	1.7753	4.6667	0.7785	3.5000	1.0871	année académique(4);année d'étude(2);calendrier des écoles(1);an(1);année d'école(1);année universitaire(1);début et la fin des leçons d'un niveau(1);année estudiantine(1);temps scolaire(1);rentrer des classes(1);saison d'études(1);année éducative(1);période académique(1);deux semestres(1);mois d'études durant une année(1);ecole(1);saison(1);période scolaire(1);trois trimestres scolaires(1);calendried(1);période dans une institution d'enseignement(1);temps d'école(1)
art_contemporain	art_contemporain	art/n_contemporain/a	art	contemporain	11	5.0000	0.0000	4.8182	0.6030	4.9091	0.3015	art moderne(7);art d'aujourd'hui(2);art qui n'est pas du passé(1);arte povera(1);œuvres actuelles(1);mouvements artistiques post 1945(1);art avance(1);avant garde(1);art du xxième siècle(1);actuel(1);œuvres esthétiques modernes(1);peinture contemporaine(1);art nouveau(1);art postmoderne(1);art d'avant garde(1);art d'un certain temps actuel(1);kitsch(1);art du moment(1)
baie_vitré	baie_vitrée	baie/n_vitré/a	baie	vitrée	10	3.9000	1.4491	4.9000	0.3162	4.2000	0.9189	porte fenêtre(3);fenêtre(3);vasistas(2);véranda(1);large ouverture(1);patio clos(1);porte vitrée(1);grande fenetre(1);toute ouverture pratiquée dans un mur ou dans une toiture avec un remplissage par un vitrage(1);ébrasement(1);embrasure(1);vitre transparente(1);fenetre vitrée(1);fenêtre se caractérisant par la grande surface de son vitrage(1);grande fenêtre(1);facade vitrée(1)
bas_côté	bas_côté	bas/a_côté/n	côté	bas	12	4.0000	1.1282	0.9167	0.9003	1.5000	0.9045	accotement(6);bordure(3);bord d'une chaussée(2);bord(2);bord de la route(2);partie de laroue(1);voie de détresse(1);contre allee(1);bande d'arret d'urgence(1);sur le côté de la chaussée(1);bord de la chaussée(1);abord des routes(1);bande arrêt d'urgence(1);chemin dangereux(1);côté(1);côté de la route(1);fossé(1)
beau_frère	beau_frère	beau/a_frère/n	frère	beau	10	1.7000	1.8288	0.2000	0.4216	0.2000	0.4216	frère du conjoint(5);mari de la soeur(4);demi frère(2);frère de la femme(2);frère de l'époux(1);frère par alliance(1);mari de la belle soeur(1);frère non biologique(1);mari de ma belle soeur(1);enfant de mêmes parents(1);famille(1);beauf(1);frère d'un membre du couple(1);mari del la soeur(1);frère de l'épouse(1)
beau_père	beau_père	beau/a_père/n	père	beau	12	2.8333	1.8505	0.0833	0.2887	0.8333	1.0299	parâtre(5);père du conjoint(4);nouveau mari de la mère(3);père de l'époux(2);mari de ma mère(1);père(1);parent(1);fille de la belle mère(1);pere de son compagnon(1);parent non biologique(1);père de l'épouse(1);pere de ma femme(1);père par alliance(1);mari de sa mere(1);pere du conjoint(1);père adoptif(1);conjoint d'un parent(1);nouvel époux de la mere(1)
beau_mère	belle_mère	beau/a_mère/n	mère	belle	12	2.4167	2.1088	0.1667	0.3892	0.5833	0.9003	mère du conjoint(3);belle maman(2);mère adoptive(2);nouvelle femme du père(2);belle doche(1);parent adoptif(1);parent(1);mére du mari(1);parent non biologique(1);seconde femme du pere(1);mère(1);seconde femme du père(1);mère du mari(1);mère de sa femme/mari(1);mère de l'épouse(1);mere de l'epoux(1);pas la mere biologique(1);marâtre(1);seconde mere(1);ma belle deuche ( argot)(1)
berger_allemand	berger_allemand	berger/n_allemand/a	berger	allemand	13	1.4615	1.4500	1.6923	1.3775	1.3077	1.3156	chien(6);chien loup(5);chien de garde(3);berger alsacien(3);chien de berger(2);chien policier(2);berger d'alsace(2);chiot(1);animal domestic(1);chien de race(1);grand chien courreur(1);chien de bergee(1);chien de race pure(1)
bon_sens	bon_sens	bon/a_sens/n	sens	bon	14	3.9286	1.0716	4.1429	0.9493	3.7857	1.0509	raison(8);sens commun(7);sagesse(4);logique(4);discernement(2);jugement bienfondé(1);droiture(1);judicieux(1);principe(1);respect(1);bon gout(1);opinion commune(1)
bon_vent	bon_vent	bon/a_vent/n	vent	bon	14	0.5714	0.7559	3.2143	1.9682	0.6429	0.8419	bonne chance(8);bonne route(6);bon voyage(5);au revoir(4);bon courage(3);bon départ(1);adieu(1);bonne continuation(1);bon débarras(1);succès(1);souhait de succès(1)
bon_vivant	bon_vivant	bon/a_vivant/n	vivant	bon	14	3.9286	1.2067	2.2857	0.9139	2.4286	1.0894	gourmand(3);fêtard(3);gastronome(2);gai luron(2);commode(2);vif(1);epicurien(1);qui aime la fete(1);joyeux drille(1);boute en train(1);amical(1);bec fin(1);heureux(1);épicurien(1);jovial(1);gros mangeur(1);bonne humeur(1);festif(1);aime la vie(1);profite(1);jouisseur(1);joyeux compagnon(1);paresseux(1);joyeux(1)
bon_humeur	bonne_humeur	bon/a_humeur/n	humeur	bonne	14	4.6429	0.7449	4.7143	0.7263	4.7143	0.7263	content(6);heureux(5);joyeux(4);joie(3);gaiement(2);gai(2);bon poil(1);gaieté(1);cordialité(1);État d'esprit(1);enjoué(1);bonheur(1);sympathie(1);bonne disposition(1);agréable(1);gaie(1);attitude(1)
