compound_lemma	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	avgHead	stdevHead	avgModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents
abalo_sísmico	abalo_sísmico	abalo/n_sísmico/a	abalo	sísmico	39	4.0000	1.1921	4.6154	0.9066	4.2308	1.0873	terremoto(30);tremor(8);tremor de terra(6);terremotos(5);maremoto(3);tremor sísmico(2);sismo(2);tremores de terra(2);movimentação de placas tectônicas(2);tremores(2);choque na terra(1);chão tremendo(1);movimentos tectonicos(1);movimento sísmico(1);destruição(1);tremendo o chão(1);vibração sísmica(1);encontro tectônico(1);tremedeira da terra(1);medo(1);fenomenos sismicos(1);choque entre placas tectonicas(1);expurgo magmatico(1);cataclisma(1);tsunami(1);choque tectonico(1);choque de placas(1);a(1);terremoto, calota terrestre, mar, terra, tremer(1);s(1);movimentos que fazem a terra tremer(1);tremor terrestre(1);placas tectônicas colidindo(1)
acampamento_militar	acampamento_militar	acampamento/n_militar/a	acampamento	militar	28	4.4286	0.8789	4.8929	0.4163	4.5357	0.7445	acampamento do exército(6);acampamento(5);base militar(3);posto militar(3);acampamento de soldados(2);militar(2);quartel(2);quartel militar(2);aquartelamento(1);habitação militar(1);abarracamento militar(1);base de militares(1);local improvisado de reunião de militares(1);milicos acampando(1);concentração militar(1);acampamento do exercito(1);concentração(1);acampamento de militares(1);acampamento da aeronautica(1);local temporário de militares(1);aquartelamento militar(1);sítio militar(1);bivaque(1);acampamento de milicos(1);da marinha(1);treinamento do exército(1);empresa militar(1);acampamento de treinamento militar(1);base(1);quartel passageiro(1);trincheiras(1);abarracamento(1);a(1);instalação militar(1);instalação de militares em um local(1);campo militar(1);aquartelamento de militares(1);s(1);concentração de soldados(1);lugar onde se encontram militares prontos para agir(1);tropa(1)
agente_secreto	agente_secreto	agente/n_secreto/a	agente	secreto	35	4.7429	0.6572	4.5143	0.7811	4.4000	0.9139	espião(24);agente(5);agente oculto(3);007(3);infiltrado(3);investigador(2);agente duplo(2);agente especial(2);agente infiltrado(2);missão secreta(1);serviço secreto(1);agente do serviço secreto(1);polícia secreta(1);espião secreto(1);agente de operações especiais(1);operativo de missão secreta(1);agente que é secreto(1);agente sigiloso(1);funcionario de um lugar secreto(1);detetive(1);agente cuja identidade é mantida secreta(1);espia(1);agente do governo(1);agente que trabalha secretamente para um serviço de inteligência(1);operador oculto(1);agente furtivo(1);agente com identidade secreta(1);a(1);agente não identificado(1);agente inflitrado(1);agente disfarçado(1);à paisana(1);dirigente(1);pessoa que trabalha para organização secreta(1);funcionário disfarçado(1);s(1);procurador(1);agente confidencial(1)
alarme_falso	alarme_falso	alarme/n_falso/a	alarme	falso	29	2.7931	1.3985	4.2759	1.1306	3.0000	1.4142	engano(12);erro(4);mal entendido(2);susto(2);falso alerta(2);equívoco(2);notícia falsa(2);aviso falso(2);aviso errado(2);sinal falso(2);mentira(2);alarme ilusório(1);falsa notícia(1);falso aviso(1);deslize(1);algo que estava para acontecer mas não se efetivou(1);expectativa não correspondida(1);aviso em vão(1);informação equivocada(1);alarme errado(1);boato(1);equivoco(1);equívoco que outrora fora anunciado como verídico(1);alarme precipitado(1);alarme inválido(1);falso escandalo(1);falsa emergência(1);s(1);confusão(1);alarde(1);alarme equivocado(1);alarde que fora engano(1);esperas desnecessárias(1);a(1);falso perigo(1);falsa confirmação(1);atenção desnecessária(1);falso alarme(1);bote(1);pegadinha(1);alerta falso(1);tempestade em copo d'água(1)
algodão_doce	algodão_doce	algodão/n_doce/a	algodão	doce	27	0.8889	1.0500	5.0000	0.0000	1.4074	1.1184	doce(12);guloseima(3);comida(3);doce de açucar(3);açúcar(2);nuvem doce(2);açucar(2);sobremesa(2);doce de açúcar transformado em fios macios e servido no palito(1);algodão de açucar(1);nuvem de algodão(1);comida de criança(1);doce de parque(1);algodão adocicado(1);nuvem rosa(1);confeito similar ão algodão(1);açúcar quase puro(1);açúcar trefilado(1);açúcar derretido e feito em fios muito finos(1);núvem(1);guloseima de açúcar derretido e enrolado(1);doce de algodão(1);doce rosa(1);comida doce(1);doce de açúcar cristalizado(1);a(1);doce fofo(1);açúcar derretido(1);bola de açúcar(1);nuvão doce(1);fio doce(1);doçura(1);açúcar cristalizado(1);açucar em formato semelhante ão algodão(1);algodão de açúcar(1);s(1);açúcar colorido(1)
alto_temporada	alta_temporada	alto/a_temporada/n	temporada	alta	35	4.2000	1.3460	1.9143	1.4627	2.1714	1.5432	época de férias(3);temporada de férias(3);período de férias(3);alta estação(3);época de movimento(3);alta demanda(3);verão(3);férias(3);alta procura(2);tempo de alto movimento(2);temporada movimentada(2);alto movimento(2);época na qual a maioria das pessoas estão de férias(1);veraneio(1);muito movimento(1);férias de verão(1);alto consumo(1);turismo(1);período de maior procura(1);época de turismo(1);boa fase(1);estação adequada para turismo(1);janeiro, fevereiro, julho e dezembro(1);época mais ativa(1);época do ano de maior turismo(1);momento de mais pessoas pelas ruas(1);período movimentado(1);temporada de maior afluxo(1);grande movimento(1);época de maior procura(1);época movimentada(1);auge da temporada(1);grande mobilização(1);estação quente(1);maior procura(1);época principal(1);temporada turística(1);ponto alto(1);grande temporada(1);apice(1);temporada de mais turismo(1);grandes férias(1);temporada com maior demanda(1);muitas pessoas(1);a(1);período mais procurado(1);período intenso(1);período alto(1);boa temporada(1);ferias ou feriado(1);época de maior movimento(1);s(1);pico(1);popular(1);período lotado(1)
alto_costura	alta_costura	alto/a_costura/n	costura	alta	35	3.5714	1.2899	2.0571	1.5519	1.5714	1.3347	alta qualidade(9);grife(6);alto padrão(3);costura de qualidade(3);chique(2);qualidade(2);de qualidade(2);sofisticado(2);luxo(2);costura sofisticada(1);roupas bem feitas(1);roupa de alto garbo(1);elegância(1);roupas artesanais exclusivas(1);exclusivo(1);cobiçado(1);costura de elite(1);costura de classe(1);costura bem feita(1);melhor costura(1);padrão sofisticado(1);fino(1);roupas exclusivas(1);perfeição(1);roupa sofistificada(1);roupas bem elaboradas(1);costura refinada(1);elegante(1);alto nivel(1);roupas de altíssima qualidade(1);moda que é produzida de forma exclusiva, nos moldes de uma pessoa específica(1);de ponta(1);boa qualidade(1);roupas com alta qualidade(1);grande costureiros(1);de boa qualidade(1);marca sofisticada(1);roupas caras(1);moda que não é produzida em massa(1);marca(1);alta classe de roupa(1);roupas originais(1);sofisticada(1);requintado(1);elite(1);excelente fábrica(1);costura de design(1);a(1);costura de luxo(1);roupas de qualidade(1);costura de alta moda(1);moda(1);s(1);que demonstra elegância(1);renome(1)
alto_mar	alto_mar	alto/a_mar/n	mar	alto	39	4.5897	0.8801	1.4872	1.5021	1.5641	1.5355	mar aberto(15);oceano(12);longe da costa(4);mar fundo(4);mar profundo(3);mar(3);mar alto(3);largo(3);mar longe da costa(2);no meio do oceano(2);mar livre(2);alto oceano(2);dentro do mar(2);distante da costa(2);águas internacionais(2);águas profundas(2);meio do mar(1);mar à dentro(1);mar pleno(1);longe da beira do mar(1);deriva(1);longe do beiramar(1);muito adentro do mar(1);mares profundos(1);aguas profundas(1);ao oceano(1);longe da praia(1);a(1);em meio ão oceano(1);fundo do mar(1);local afastado da costa(1);mar longínquo(1);em mar aberto(1);mar largo(1);longe no mar(1);mar não territorial(1);alem da praia(1);no oceano(1);mar a dentro(1);s(1);longe da orla(1)
alto_falante	alto_falante	alto/a_falante/n	falante	alto	33	2.0000	1.3919	1.6970	1.4681	1.3030	1.5306	caixa de som(17);som(8);speaker(3);megafone(3);porta voz(3);aparelho de som(2);amplificador(2);áudio(2);caixa acústica(2);viva voz(2);emissor de som(2);dispositivo eletrônico que reproduz som(1);aparelho de sonorização(1);sistema de som(1);som alto(1);meio usado para propagar som(1);speakers(1);reproduz ondas acústicas(1);s(1);saida de som(1);aparelho reprodutor de audio(1);cornetas(1);aparelho(1);sons(1);equipamento(1);equipamento que produz sons(1);caixa de som potente(1);a(1);saída de som(1);caixa(1);algo que potencializa o som(1);microfone(1);barulho(1);difusor de som(1);transdutor(1)
amigo_oculto	amigo_oculto	amigo/n_oculto/a	amigo	oculto	41	3.1707	1.4646	3.4390	1.3610	2.7805	1.3325	amigo secreto(37);presente(3);amigo desconhecido(3);amigo misterioso(3);brincadeira(3);amigo invisível(3);troca de presentes(2);jogo(2);amigo surpresa(2);fim de ano(1);pessoa cuja identidade não é revelada(1);brincadeira para troca de presentes entre pessoas(1);jogador secreto(1);amigo não anunciado(1);amigo x(1);presenteador secreto(1);sorteio(1);brincadeira de final de ano(1);amigo(1);amigo discreto(1);brincadeira em que cada um sorteia alguém e presenteia essa pessoa(1);presenteador misterioso(1);anjo da guarda(1);presenteador surpresa(1);amigo obscuro(1);a(1);presenteado(1);anonimo(1);admirador(1);amigo que não sabe quem é(1);jogo entre amigos(1);chara(1);sorteado(1);jogador anônimo(1);troca de presente de forma anônima(1);recipiente de presente secreto(1);presenteação(1);jogo de trocas(1);amigo não revelado(1);s(1);anônimo(1)
