compound_lemma	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	avgHead	stdevHead	avgModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents
activité_physique	activité_physique	activité/n_physique/a	activité	physique	15	4.9333	0.2582	4.9333	0.2582	4.9333	0.2582	sport(8);gymnastique(4);exercice physique(4);exercice(3);travail physique(2);entrainement physique(1);travail(1);activité sportive(1);entraînement(1);travail musculaire(1);exercise physique(1);endurance physique(1);entrainement sportif(1);exercise(1);mouvements(1);éducation physique(1);mise en forme(1)
année_scolaire	année_scolaire	année/n_scolaire/a	année	scolaire	16	2.5000	1.8257	4.2500	1.3904	3.3750	1.3102	année académique(5);année d'étude(2);période scolaire(2);calendrier des écoles(1);an(1);année d'école(1);année universitaire(1);début et la fin des leçons d'un niveau(1);année estudiantine(1);temps scolaire(1);rentrer des classes(1);cursus scolaire(1);année d'etude(1);saison d'études(1);année éducative(1);an de scolaire(1);période académique(1);calendrier scolaire(1);deux semestres(1);an scolaire(1);mois d'études durant une année(1);ecole(1);saison(1);an didactique(1);trois trimestres scolaires(1);année de l'école(1);calendried(1);période dans une institution d'enseignement(1);temps d'école(1);periode scolaire(1)
art_contemporain	art_contemporain	art/n_contemporain/a	art	contemporain	15	4.8667	0.3519	4.5333	0.8338	4.6000	0.7368	art moderne(8);art d'aujourd'hui(3);art actuel(2);moderne(1);art du xxième siècle(1);arte povera(1);nouveauté(1);mouvements artistiques post 1945(1);expression des artistes de notre époque(1);art postmoderne(1);art d'avant garde(1);peinture contemporaine(1);art qui n'est pas du passé(1);art d'un certain temps actuel(1);art nouveau(1);art créé depuis la seconde guerre mondiale(1);œuvres esthétiques modernes(1);art modern(1);kitsch(1);œuvres actuelles(1);art avance(1);actuel(1);avant garde(1);art du moment(1)
baie_vitré	baie_vitrée	baie/n_vitré/a	baie	vitrée	14	3.1429	1.8752	4.6429	0.7449	3.7143	1.4899	fenêtre(5);porte fenêtre(3);vasistas(2);lucarne(1);fenetre vitrée(1);véranda(1);large ouverture(1);large ouverture dans un mur(1);porte vitrée(1);embrasure(1);ébrasement(1);grande fenetre(1);fenêtre se caractérisant par la grande surface de son vitrage(1);patio clos(1);fenetre(1);baie aveugle(1);grande vitre(1);vitre transparente(1);toute ouverture pratiquée dans un mur ou dans une toiture avec un remplissage par un vitrage(1);ouverture(1);grande fenêtre(1);facade vitrée(1)
bas_côté	bas_côté	bas/a_côté/n	côté	bas	15	3.4667	1.7265	1.0000	1.1952	1.4667	1.1872	accotement(6);bordure(3);bord d'une chaussée(2);bord(2);bord de la route(2);partie de laroue(1);banquette(1);voie de détresse(1);contre allee(1);sur le côté de la chaussée(1);bord de la chaussée(1);bande arrêt d'urgence(1);bord d'une chaussee(1);accotements des routes(1);fossé(1);bande d'arret d'urgence(1);chemin dangereux(1);côté(1);petit bâtiment(1);fossé bordant une route(1);abord des routes(1);côté de la route(1);couloir(1)
beau_frère	beau_frère	beau/a_frère/n	frère	beau	15	2.4000	1.8439	0.4000	0.7368	0.7333	1.0328	frère du conjoint(5);mari de la soeur(5);frère de l'époux(2);beauf(2);frère de la femme(2);demi frère(2);mari de la belle soeur(2);mari del la soeur(1);frère(1);frère par mariage d'un parent(1);famille(1);ami(1);frère pas biologique(1);enfant de mêmes parents(1);frere par marriage d'un parent(1);frère d'un membre du couple(1);frère par alliance(1);frère non biologique(1);frere pas biologique(1);mari de ma belle soeur(1);frère du conjoin(1);frère de l'épouse(1)
beau_père	beau_père	beau/a_père/n	père	beau	14	2.9286	1.7305	0.3571	0.7449	1.0714	1.1411	parâtre(5);père du conjoint(4);nouveau mari de la mère(3);mari de la mère(2);père de l'époux(2);mari de ma mère(1);père(1);parent(1);fille de la belle mère(1);parent non biologique(1);père de l'épouse(1);pere de ma femme(1);pas le père maternel(1);mari de sa mere(1);pere du conjoint(1);pere pas biologique(1);père adoptif(1);conjoint d'un parent(1);père par alliance(1);nouvel époux de la mere(1);pere de son compagnon(1)
beau_mère	belle_mère	beau/a_mère/n	mère	belle	15	2.6000	1.9198	0.4667	0.7432	0.8000	1.0823	nouvelle femme du père(3);mère du conjoint(3);mère du mari(2);belle doche(2);mère adoptive(2);belle maman(2);mère de l'épouse(1);seconde femme du père(1);ma belle deuche ( argot)(1);mère de la femme(1);mère dans la loi(1);seconde femme du pere(1);famille(1);parent adoptif(1);pas la mere biologique(1);mére du mari(1);parent(1);mère de sa femme/mari(1);parent non biologique(1);seconde mere(1);marâtre(1);belle mère(1);mere de l'epoux(1);mère(1)
berger_allemand	berger_allemand	berger/n_allemand/a	berger	allemand	15	1.6667	1.6330	1.6000	1.2984	1.2667	1.2228	chien(7);chien loup(5);berger alsacien(4);chien de garde(3);berger d'alsace(3);chien de berger(2);chien policier(2);chiot(1);animal domestic(1);chien de race(1);grand chien courreur(1);race(1);chien de bergee(1);chien de race pure(1)
bon_sens	bon_sens	bon/a_sens/n	sens	bon	15	3.6667	1.4475	3.8667	1.4075	3.5333	1.4075	raison(8);sens commun(7);sagesse(4);logique(4);discernement(2);jugement bienfondé(1);droiture(1);intelligence(1);judicieux(1);principe(1);respect(1);opinion commune(1);bon gout(1);pragmatisme(1)
bon_vent	bon_vent	bon/a_vent/n	vent	bon	15	0.8000	1.1464	3.2667	1.9074	0.8667	1.1872	bonne chance(9);bonne route(6);bon voyage(5);bon courage(4);au revoir(4);bon départ(1);adieu(1);bonne continuation(1);bon débarras(1);succès(1);souhait de succès(1)
bon_vivant	bon_vivant	bon/a_vivant/n	vivant	bon	15	4.0000	1.1952	2.4667	1.1255	2.6000	1.2421	gourmand(3);fêtard(3);gastronome(2);gai luron(2);commode(2);joyeux(2);vif(1);epicurien(1);qui aime la fete(1);joyeux drille(1);boute en train(1);amical(1);bec fin(1);heureux(1);épicurien(1);jovial(1);plaisant(1);gros mangeur(1);bonne humeur(1);festif(1);aime la vie(1);profite(1);jouisseur(1);joyeux compagnon(1);paresseux(1)
bon_humeur	bonne_humeur	bon/a_humeur/n	humeur	bonne	15	4.4000	1.1832	4.6000	0.8281	4.5333	0.9904	content(7);heureux(6);joyeux(5);joie(3);gaiement(2);gai(2);bonne disposition(1);bon poil(1);gaieté(1);cordialité(1);État d'esprit(1);enjoué(1);bonheur(1);sympathie(1);attitude(1);agréable(1);gaie(1)
bon_poire	bonne_poire	bon/a_poire/n	poire	bonne	15	0.3333	0.8165	2.5333	1.8848	0.7333	1.0998	personne naïve(5);personne trop gentille(2);naïve(2);personne trop bonne(2);trop bon(2);naïf(2);personne de bonne composition(1);bonne tête(1);dupe(1);babouin(1);personne naive(1);naif(1);fou(1);idiot(1);pigeon(1);bonne pomme(1);gentil(1);personne facilement abusable(1);personne qui ne sait pasd dire non(1);nigaud(1);béni oui oui(1);individu qui manque de caractere(1);individu qui rend services aux autres(1);candive(1);quelqu'un qui est trop serviable(1);bonne bouille(1)
