WorkerId	ID	Input.compound	Answer.Qhead	Answer.Qmodifier	Answer.Qheadmodifier	equivalents	Input.noun	Input.modifier	Input.nounlemma	Input.modifierlemma	Input.order	AssignmentStatus
alvesnat151880	3	agente secreto	5	5	5	agente duplo - espião	agente	secreto	agente	secreto	NA	Approved
alvesnat151880	17	ar livre	5	2	3	em lugar aberto - extramuros	ar	livre	ar	livre	NA	Approved
alvesnat151880	21	batata-doce	5	5	5	legume  - tubérculo	batata	doce	batata	doce	NA	Approved
alvesnat151880	69	força bruta	1	5	3	intransigência - irracionalidade - selvageria	força	bruta	força	bruto	NA	Approved
alvesnat151880	82	livro aberto	0	0	0	claro - sem ambiguidades - transparente	livro	aberto	livro	aberto	NA	Approved
alvesnat151880	106	núcleo atômico	5	5	5	junção de partículas nucleares - massa atômica	núcleo	atômico	núcleo	atômico	NA	Approved
alvesnat151880	107	olho gordo	2	2	2	ganância - interesse - inveja	olho	gordo	olho	gordo	NA	Approved
alvesnat151880	110	ônibus executivo	5	1	3	ônibus diferenciado - transporte particular	ônibus	executivo	ônibus	executivo	NA	Approved
alvesnat151880	158	segundo plano	1	3	2	deixar de lado - pôr num plano inferior	plano	segundo	plano	segundo	AN	Approved
alvesnat151880	178	vôo doméstico	5	0	2	interno - nacional	vôo	doméstico	vôo	doméstico	NA	Approved
alvesvic300010	4	água doce	2	2	2	meio hídrico  - recurso natural abundante no Brasil	água	doce	água	doce	NA	Approved
alvesvic300010	6	alarme falso	2	2	2	alarde que fora engano - equívoco que outrora fora anunciado como verídico	alarme	falso	alarme	falso	NA	Approved
alvesvic300010	8	alta temporada	2	2	2	época na qual a maioria das pessoas estão de férias  - período de maior procura	temporada	alta	temporada	alto	AN	Approved
alvesvic300010	9	alta-costura	4	3	3	de boa qualidade - que demonstra elegância 	costura	alta	costura	alto	AN	Approved
alvesvic300010	11	alto-falante	2	2	2	dispositivo eletrônico que reproduz som - meio usado para propagar som	falante	alto	falante	alto	AN	Approved
alvesvic300010	13	amigo secreto	2	2	2	brincadeira entre amigos  - brincadeira entre conhecidos  - jogo que consta em citar características da pessoa em questão - jogo que conta em citar caraterísticas da pessoa 	amigo	secreto	amigo	secreto	NA	Approved
alvesvic300010	14	amor-próprio	2	2	2	apreciar seu próprio ser - ter reconhecimento de seu potencial	amor	próprio	amor	próprio	NA	Approved
alvesvic300010	21	batata-doce	2	2	2	alimento  - tipo de raiz	batata	doce	batata	doce	NA	Approved
alvesvic300010	33	carro-forte	2	2	2	carro equipado para transportar dinheiro - veículo utilizado para transporte de grandes quantias de dinheiro 	carro	forte	carro	forte	NA	Approved
alvesvic300010	35	centro comercial	2	2	2	estabelecimento que engloba várias lojas - local de aglomeração de lojas	centro	comercial	centro	comercial	NA	Approved
alvesvic300010	41	círculo vicioso	2	2	2	loop de ações ruins  - repetição de atividades prejudiciais	círculo	vicioso	círculo	vicioso	NA	Approved
alvesvic300010	44	colégio militar	4	4	4	instituição de ensino herdada dos anos de chumbo - instituição regida por militares 	colégio	militar	colégio	militar	NA	Approved
alvesvic300010	45	coluna social	1	1	1	local de publicação sobre eventos  - mural de fotos de pessoas que comparecem em ocasiões especiais	coluna	social	coluna	social	NA	Approved
alvesvic300010	46	comida caseira	2	2	2	alimento feito em casa - alimento produzido em pequena quantidade 	comida	caseira	comida	caseiro	NA	Approved
alvesvic300010	48	conta-corrente	2	2	2	atividade bancária - forma de armazenar dinheiro 	conta	corrente	conta	corrente	NA	Approved
alvesvic300010	49	coração partido	2	2	2	que foi magoado  - que foi rejeitado	coração	partido	coração	partido	NA	Approved
alvesvic300010	51	cordas vocais	2	2	2	estrutura corpórea  - parte do corpo humano utilizada pra a reprodução da voz	cordas	vocais	corda	vocal	NA	Approved
alvesvic300010	53	deputado federal	2	2	2	cargo político - ocupação no cenário político 	deputado	federal	deputado	federal	NA	Approved
alvesvic300010	55	direitos humanos	2	2	2	compilação de regras que devem ser mantidas em relação ao respeito entre seres humanos  - conjunto de ideias referentes aos seres humanos	direitos	humanos	direito	humano	NA	Approved
alvesvic300010	59	elefante branco	2	2	2	ligado À corrupção em construções federais  - projetos de obras faraônicas que possuem desvio de dinheiro	elefante	branco	elefante	branco	NA	Approved
alvesvic300010	61	estrela cadente	2	2	2	corpo celeste  - fenômeno natural espacial 	estrela	cadente	estrela	cadente	NA	Approved
alvesvic300010	62	exame clínico	4	4	5	checagem das funções vitais do ser humano - verificação da saúde do paciente 	exame	clínico	exame	clínico	NA	Approved
alvesvic300010	69	força bruta	2	2	2	incivilidade - meios pré-históricos de resolver problemas	força	bruta	força	bruto	NA	Approved
alvesvic300010	70	gatos-pingados	1	1	1	algumas pessoas - forma de dizer que haviam poucas pessoas	gatos	pingados	gato	pingado	NA	Approved
alvesvic300010	77	jogo duro	2	2	2	que é difícil - que resiste 	jogo	duro	jogo	duro	NA	Approved
alvesvic300010	82	livro aberto	2	2	2	pessoa ou algo que não esconde segredos   - que não esconde nada	livro	aberto	livro	aberto	NA	Approved
alvesvic300010	95	massa cinzenta	2	2	2	área cerebral  - região existente no cérebro 	massa	cinzenta	massa	cinzento	NA	Approved
alvesvic300010	100	mesa-redonda	2	2	2	local de debate - troca de ideias entre pessoas sobre um tópico específico 	mesa	redonda	mesa	redondo	NA	Approved
alvesvic300010	108	olho mágico	1	1	1	dispositivo acoplado na porta para verificar visitante  - lente que permite visualizar quem bate à porta	olho	mágico	olho	mágico	NA	Approved
alvesvic300010	110	ônibus executivo	1	1	1	alternativa confortável para quem deseja utilizar transporte público - meio de transportes com maior comodidade aos passageiros 	ônibus	executivo	ônibus	executivo	NA	Approved
alvesvic300010	115	pastor alemão	1	1	1	nome dado à uma raça de cães - raça de cachorro	pastor	alemão	pastor	alemão	NA	Approved
alvesvic300010	123	planta baixa	1	1	1	desenho de um ambiente - projeto arquitetônico 	planta	baixa	planta	baixo	NA	Approved
alvesvic300010	124	poção mágica	2	2	2	bebida utilizada em contos  - elemento fictício 	poção	mágica	poção	mágico	NA	Approved
alvesvic300010	131	primeira mão	2	2	2	diretamente do local ocorrido - no local	mão	primeira	mão	primeiro	AN	Approved
alvesvic300010	132	primeira necessidade	2	2	2	de vital importância - que possui preferência	necessidade	primeira	necessidade	primeiro	AN	Approved
alvesvic300010	134	primeiro ministro	2	2	2	cargo político  - posição de prestígio no meio político 	ministro	primeiro	ministro	primeiro	AN	Approved
alvesvic300010	138	pronto-socorro	3	3	3	atendimento rápido à feridos ou doentes - local de atendimento à vítimas 	socorro	pronto	socorro	pronto	AN	Approved
alvesvic300010	139	puro-sangue	2	2	2	que provém da mesma etnia  - sem mistura de raças 	sangue	puro	sangue	puro	AN	Approved
alvesvic300010	140	quadro-negro	2	2	2	objeto que serve para anotações - superfície utilizada para escrita	quadro	negro	quadro	negro	NA	Approved
alvesvic300010	143	rede social	2	2	2	forma de conectar-se ao mundo através de dispositivos eletrônicos - local virtual de encontro de amigos	rede	social	rede	social	NA	Approved
alvesvic300010	144	regime político	2	2	2	forma de governo - forma de reger um país	regime	político	regime	político	NA	Approved
alvesvic300010	146	relógio biológico	2	2	2	forma de regular funções vitais  - mecanismo do corpo humano	relógio	biológico	relógio	biológico	NA	Approved
alvesvic300010	147	reta final	2	2	2	eminente ao seu término  - período próximo ao fim	reta	final	reta	final	NA	Approved
