compound	noun	modifier	nounlemma	modifierlemma	order	number	gender	A-invar	hyphen	freq-brWaC	related-expr	comment	Aline-annot	examplesent1	examplesent2	examplesent3	regexp-freq	undefdetHead	undefdet	ser	ter	link-wiktionnary					
abalo sísmico	abalo	sísmico	abalo	sísmico	NA	S	M	no	no	94			C	São incomuns em Goiana os grandes <strong>abalos sísmicos</strong> ou terremotos.	Tsunamis são ondas de grande energia geradas por <strong>abalos sísmicos</strong>.	As terras também sofrerão fortes <strong>abalos sísmicos</strong>, o que desencadeará fortíssimos terremotos por todo o globo terrestre.	abalo sísmico	um	um	é	tem						
acampamento militar	acampamento	militar	acampamento	militar	NA	S	M	yes	no	29			C	Pelos quartéis e pelos <strong>acampamentos militares</strong> onde se decidiam as estratégias;	Um <strong>acampamento militar</strong> e várias barreiras policiais foram instaladas nos acessos e no povoado.	Na Guiana havia um grande <strong>acampamento militar</strong> e um avião de tropas estava trazendo mais soldados para ali.	acampamento militar	um	um	é	tem						
agente secreto	agente	secreto	agente	secreto	NA	S	M	no	no	143			C	Existe mesmo no serviço secreto inglês um <strong>agente secreto</strong> com licença para matar! 	Um <strong>agente secreto</strong> dos Estados Unidos se apaixona por uma espiã.	Fleming criou um <strong>agente secreto</strong> que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho.	agente secreto	um	um	é	tem						
água doce	água	doce	água	doce	NA	S	F	yes	no	9226			PC	O Brasil conta com grandes reservas de <strong>água doce</strong>.	A maior reserva de <strong>água doce</strong>, que ganha cada vez mais importância.	95 a 98% das pérolas de <strong>água doce</strong> não são nucleadas.	água doce	uma	a	é	tem	http://www.priberam.pt/dlpo/%C3%A1gua%20doce					
água mineral	água	mineral	água	mineral	NA	S	F	yes	no	2800			C	Só beba <strong>água mineral</strong> lacrada.	Os bons bebem café ou <strong>água mineral</strong>.	Foram avaliadas 47 marcas de <strong>água mineral</strong>;	água mineral	uma	a	é	tem	https://pt.wiktionary.org/wiki/%C3%A1gua_mineral					
alarme falso	alarme	falso	alarme	falso	NA	S	M	no	no	178			NC	Felizmente, tudo não passou de um <strong>alarme falso</strong>.	Achei que tinha tido progresso, mas nada, <strong>alarme falso</strong>.	Os <strong>alarmes falsos</strong> da chegada dos rebeldes eram constantes.	alarme falso	um	um	é	tem	XX					
algodão-doce	algodão	doce	algodão	doce	NA	S	M	yes	yes	54			PC	Tem pipoca, estalinho, <strong>algodão doce</strong>, sorvete	Para a garotada, pipoca, <strong>algodão doce</strong>, cachorro quente, cama elástica e piscina de bolinhas.	Adicione a isso jujubas e <strong>algodão doce</strong> e você terá o meu conceito de como deveria ser o paraíso!	algodão-doce	um	um	é	tem						
alta temporada	temporada	alta	temporada	alto	AN	S	F	no	no	668			C	Na <strong>alta temporada</strong> (dezembro-fevereiro) evite usar carro.	É importante reservar antes, principalmente em período de <strong>alta temporada</strong>!	A oferta de hotéis por toda a Índia é grande mesmo em <strong>alta temporada</strong>.	alto temporada	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Alta_temporada					
alta-costura	costura	alta	costura	alto	AN	S	F	no	yes	127			PC	Em vez de tênis de baixa qualidade, vamos fazer tênis de <strong>alta costura</strong>.	A marca Christian Dior é um ícone da moda de <strong>alta costura</strong>.	Adoro ver roupas tidas como simples, mas com uma precisão de <strong>alta costura</strong>.	alta-costura	uma	uma	é	tem						
alto mar	mar	alto	mar	alto	AN	S	M	no	no	5486			PC	Eles pescavam e congelavam os peixes em <strong>alto mar</strong>.	Estória de batalha desesperada e mortes em <strong>alto mar</strong>.	Os grandes cardumes só estão em <strong>alto mar</strong>!	alto mar	um	um	é	tem	https://pt.wiktionary.org/wiki/alto-mar					
alto-falante	falante	alto	falante	alto	AN	S	M	no	yes	2962			NC	Possui microfone e <strong>alto-falante</strong> mono.	Inauguramos serviços de <strong>alto-falantes</strong> e a rádio-colmeia.	Como sei a potência do <strong>alto falante</strong>?	alto falante	um	um	é	tem	https://pt.wiktionary.org/wiki/alto-falante					
amigo oculto	amigo	oculto	amigo	oculto	NA	S	M	no	no	443			PC	E aguardo ansiosamente o livro do meu <strong>amigo-oculto</strong>.	Teve presente de <strong>amigo oculto</strong> chegando pelos correios...	Logo, todos adivinham que seu <strong>amigo oculto</strong> é...	amigo oculto	um	um	é	tem	https://pt.wikipedia.org/wiki/Amigo_oculto					
amigo secreto	amigo	secreto	amigo	secreto	NA	S	M	no	no	1695			PC	Dar caixa de chocolates para o <strong>amigo secreto</strong>.	Meu <strong>amigo secreto</strong> é um sujeito muito irado.	<strong>Amigo secreto</strong> é trocar o presente espontâneo por um brinde.	amigo secreto	um	um	é	tem	https://pt.wikipedia.org/wiki/Amigo_secreto					
amor-próprio	amor	próprio	amor	próprio	NA	S	M	no	yes	4213			PC	Eu escolhi <strong>amor próprio</strong> e não autopiedade.	Perdeu o autorespeito e o <strong>amor proprio</strong>.	Desenvolva mais <strong>amor próprio</strong>, cure suas inseguranças.	amor próprio	um	um	é	tem	https://pt.wiktionary.org/wiki/amor-pr%C3%B3prio					
ano-novo	ano	novo	ano	novo	NA	S	M	no	yes	1200			PC	Esse ano, estarei embarcada Natal e <strong>ano novo</strong>.	Esta é a minha decisão de <strong>ano novo</strong>.	Esta é minha principal resolução de <strong>ano novo</strong>.	ano-novo	um	um	é	tem						
ar condicionado	ar	condicionado	ar	condicionado	NA	S	M	no	no	15391			PC	Aparelhos de <strong>ar-condicionado</strong> são desligados.	Alguns ônibus tem <strong>ar-condicionado</strong>.	Existe <strong>ar-condicionado</strong> em todos os quartos.	ar condicionado	um	um	é	tem	https://pt.wiktionary.org/wiki/ar_condicionado					
ar livre	ar	livre	ar	livre	NA	S	M	yes	no	166			NC	E vamos também construir uma piscina de <strong>ar livre</strong> em Vila Verde.	Artística, gosta de coisas bonitas e também da natureza e de <strong>ar livre</strong>.	Este restaurante ao <strong>ar livre</strong> está especializado em pratos tradicionais brasileiros, como a galinhada caipira.	ar livre	um	o	é	tem	https://pt.wiktionary.org/wiki/ar_livre					
arma branca	arma	branca	arma	branco	NA	S	F	no	no	422			PC	Oito pessoas foram detidas com rojões e <strong>armas brancas</strong>.	Gangues ligadas ao grupo costumam portar <strong>armas brancas</strong> e de fogo.	Foices e facões são <strong>armas brancas</strong> de uso corriqueiro.	arma branco	uma	uma	é	tem	https://pt.wiktionary.org/wiki/arma_branca				NC	60
ato falho	ato	falho	ato	falho	NA	S	M	no	no	1722			PC	Ocorre que temos razões para nossos esquecimentos, <strong>atos falhos</strong> e medos exagerados.	Astúcia proposital ou <strong>ato falho</strong> freudiano, a redação ambígua confere ao depoimento um valor que não tem.	Mas não é um <strong>ato falho</strong> e, ao invés de atrapalhar, trás um elemento a mais para a narrativa.	ato falho	um	um	é	tem	http://www.priberam.pt/dlpo/ato%20falho				PC	60
banho turco	banho	turco	banho	turco	NA	S	M	no	no	29			PC	Tome banho em um hammam, ou seja um <strong>banho turco</strong>.	Somente no século XVII houve a introdução das casas de saunas e <strong>banhos turcos</strong>.	O banho comunal na idade média e o <strong>banho turco</strong> tinham fins semelhantes.	banho turco	um	um	é	tem					C	60
batata-doce	batata	doce	batata	doce	NA	S	F	yes	yes	1756			C	Como entrada veio um ceviche amazônico com <strong>batata doce</strong>.	A <strong>batata doce</strong> é um alimento de baixo índice glicêmico.	Confira em quais preparações a <strong>batata doce</strong> pode ser utilizada.	batata doce	uma	uma	é	tem	https://pt.wiktionary.org/wiki/batata-doce					
bebida alcoólica	bebida	alcoólica	bebida	alcoólico	NA	S	F	no	no	26873			C	Você costuma ingerir <strong>bebida alcoólica</strong>?	Proibiram a venda de <strong>bebidas alcoólicas</strong>?	As <strong>bebidas alcoólicas</strong> podem causar consequências graves.	bebida alcoólico	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Bebida_alco%C3%B3lica					
bode expiatório	bode	expiatório	bode	expiatório	NA	S	M	no	no	8659			NC	A classe médica está sendo usada como <strong>bode expiatório</strong>.	Peguei-o para <strong>bode expiatório</strong>, Ziraldo?	Dialoguem e não arranjem mais um <strong>bode expiatório</strong>.	bode expiatório	um	um	é	tem	https://pt.wiktionary.org/wiki/bode_expiat%C3%B3rio					
braço direito	braço	direito	braço	direito	NA	S	M	no	no	13628			NC	Ele era praticamente o <strong>braço direito</strong> de meu avô.	Não me considero <strong>braço direito</strong> do senhor Carlos.	Tem 37 anos e é o <strong>braço direito</strong> de seu pai, Agustín.	braço direito	um	um	é	tem	https://pt.wiktionary.org/wiki/bra%C3%A7o_direito					
buraco negro	buraco	negro	buraco	negro	NA	S	M	no	no	9665			NC	Esses <strong>buracos negros</strong> poderiam ter tamanhos subatômicos.	Os <strong>buracos negros</strong> primordiais são propostas teóricas.	Um <strong>buraco negro</strong> pode engolir pelo menos 10.000 sóis!	buraco negro	um	um	é	tem	https://pt.wiktionary.org/wiki/buraco_negro					
